,index,year,state,district,party,votes,totalvotes,two_party_pct,total_pct
0,0,1976,AK,0,DEMOCRAT,34194,118208,0.2899860917941586,0.28926976177585273
1,1,1976,AK,0,REPUBLICAN,83722,118208,0.7100139082058414,0.7082600162425555
2,2,1976,AL,1,DEMOCRAT,58906,157170,0.3748083200244332,0.37479162690080803
3,3,1976,AL,1,REPUBLICAN,98257,157170,0.6251916799755668,0.6251638353375326
4,4,1976,AL,2,DEMOCRAT,66288,156362,0.42395287706978263,0.4239393202952124
5,5,1976,AL,2,REPUBLICAN,90069,156362,0.5760471229302174,0.5760287026259577
6,6,1976,AL,3,DEMOCRAT,106935,108048,0.9897173426133313,0.989699022656597
7,7,1976,AL,3,REPUBLICAN,1111,108048,0.01028265738666864,0.010282467051680734
8,8,1976,AL,4,DEMOCRAT,141490,176022,0.803824543662404,0.8038199770483235
9,9,1976,AL,4,REPUBLICAN,34531,176022,0.1961754563375961,0.1961743418436332
10,10,1976,AL,5,DEMOCRAT,113553,113560,1.0,0.9999383585769637
11,11,1976,AL,6,DEMOCRAT,70405,162518,0.4332135517296546,0.4332135517296546
12,12,1976,AL,6,REPUBLICAN,92113,162518,0.5667864482703454,0.5667864482703454
13,13,1976,AL,7,DEMOCRAT,110496,110501,1.0,0.99995475154071
14,14,1976,AR,1,DEMOCRAT,116217,168782,0.6885627614319062,0.6885627614319062
15,15,1976,AR,1,REPUBLICAN,52565,168782,0.31143723856809374,0.31143723856809374
16,16,1976,AR,2,DEMOCRAT,144780,167607,0.8638476363224125,0.8638064042671248
17,17,1976,AR,2,REPUBLICAN,22819,167607,0.13615236367758757,0.13614586502950354
18,18,1976,AR,3,REPUBLICAN,1,1,1.0,1.0
19,19,1976,AR,4,DEMOCRAT,1,1,1.0,1.0
20,20,1976,AZ,1,DEMOCRAT,68404,168119,0.4150702969035382,0.4068784610900612
21,21,1976,AZ,1,REPUBLICAN,96397,168119,0.5849297030964618,0.5733855185909981
22,22,1976,AZ,2,DEMOCRAT,106054,182128,0.5964154561661015,0.5823047527013968
23,23,1976,AZ,2,REPUBLICAN,71765,182128,0.4035845438338985,0.3940360625494158
24,24,1976,AZ,3,DEMOCRAT,88854,187165,0.5288424911913151,0.4747361953356664
25,25,1976,AZ,3,REPUBLICAN,79162,187165,0.4711575088086849,0.4229530093767531
26,26,1976,AZ,4,DEMOCRAT,92435,191590,0.4980629239879519,0.4824625502374863
27,27,1976,AZ,4,REPUBLICAN,93154,191590,0.5019370760120482,0.4862153557075004
28,28,1976,CA,1,DEMOCRAT,160477,217016,0.7394708224278395,0.7394708224278395
29,29,1976,CA,1,REPUBLICAN,56539,217016,0.2605291775721606,0.2605291775721606
30,30,1976,CA,2,DEMOCRAT,88829,216563,0.4227556765451958,0.4101762535613193
31,31,1976,CA,2,REPUBLICAN,121290,216563,0.5772443234548041,0.5600679709830396
32,32,1976,CA,3,DEMOCRAT,139779,191854,0.7285696414982226,0.7285696414982226
33,33,1976,CA,3,REPUBLICAN,52075,191854,0.2714303585017774,0.2714303585017774
34,34,1976,CA,4,DEMOCRAT,75844,151037,0.5021551010679502,0.5021551010679502
35,35,1976,CA,4,REPUBLICAN,75193,151037,0.49784489893204975,0.49784489893204975
36,36,1976,CA,5,DEMOCRAT,103746,167754,0.6184412890303659,0.6184412890303659
37,37,1976,CA,5,REPUBLICAN,64008,167754,0.3815587109696341,0.3815587109696341
38,38,1976,CA,6,DEMOCRAT,86493,130916,0.7098201096412041,0.660675547679428
39,39,1976,CA,6,REPUBLICAN,35359,130916,0.29017989035879593,0.2700892175135201
40,40,1976,CA,7,DEMOCRAT,147064,196816,0.7622779600574311,0.7472156735224779
41,41,1976,CA,7,REPUBLICAN,45863,196816,0.23772203994256896,0.23302475408503373
42,42,1976,CA,8,DEMOCRAT,122342,196954,0.6414878667757293,0.6211704255816078
43,43,1976,CA,8,REPUBLICAN,68374,196954,0.35851213322427067,0.3471572042202748
44,44,1976,CA,9,DEMOCRAT,116398,164391,0.7229464923449582,0.7080557938086635
45,45,1976,CA,9,REPUBLICAN,44607,164391,0.2770535076550418,0.2713469715495374
46,46,1976,CA,10,DEMOCRAT,111992,155443,0.7462153518123668,0.7204698828509486
47,47,1976,CA,10,REPUBLICAN,38088,155443,0.25378464818763324,0.24502872435555156
48,48,1976,CA,11,DEMOCRAT,107618,176194,0.6328497586046703,0.6107926490118847
49,49,1976,CA,11,REPUBLICAN,62435,176194,0.3671502413953297,0.35435372373633606
50,50,1976,CA,12,DEMOCRAT,61526,196857,0.32068509001448986,0.31254159110420254
51,51,1976,CA,12,REPUBLICAN,130332,196857,0.6793149099855101,0.662064341120712
52,52,1976,CA,13,DEMOCRAT,135291,202611,0.6818381118933984,0.6677376845284807
53,53,1976,CA,13,REPUBLICAN,63130,202611,0.3181618881066016,0.31158229316276015
54,54,1976,CA,14,DEMOCRAT,123285,169959,0.7253808271406633,0.7253808271406633
55,55,1976,CA,14,REPUBLICAN,46674,169959,0.2746191728593367,0.2746191728593367
56,56,1976,CA,15,DEMOCRAT,92735,128435,0.7220383851753805,0.7220383851753805
57,57,1976,CA,15,REPUBLICAN,35700,128435,0.27796161482461945,0.27796161482461945
58,58,1976,CA,16,DEMOCRAT,104545,195705,0.5341968779540636,0.5341968779540636
59,59,1976,CA,16,REPUBLICAN,91160,195705,0.4658031220459365,0.4658031220459365
60,60,1976,CA,17,DEMOCRAT,103898,158168,0.656883819735977,0.656883819735977
61,61,1976,CA,17,REPUBLICAN,54270,158168,0.3431161802640231,0.3431161802640231
62,62,1976,CA,18,DEMOCRAT,56683,158341,0.3579805609412597,0.3579805609412597
63,63,1976,CA,18,REPUBLICAN,101658,158341,0.6420194390587403,0.6420194390587403
64,64,1976,CA,19,DEMOCRAT,68722,192923,0.3562146555879807,0.3562146555879807
65,65,1976,CA,19,REPUBLICAN,124201,192923,0.6437853444120193,0.6437853444120193
66,66,1976,CA,20,DEMOCRAT,71193,217351,0.3275485274969979,0.3275485274969979
67,67,1976,CA,20,REPUBLICAN,146158,217351,0.6724514725030021,0.6724514725030021
68,68,1976,CA,21,DEMOCRAT,101837,153109,0.6978435013807895,0.6651274582160421
69,69,1976,CA,21,REPUBLICAN,44094,153109,0.30215649861921046,0.28799090843777964
70,70,1976,CA,22,DEMOCRAT,68543,183312,0.37391441913240814,0.37391441913240814
71,71,1976,CA,22,REPUBLICAN,114769,183312,0.6260855808675919,0.6260855808675919
72,72,1976,CA,23,DEMOCRAT,130619,217053,0.6017838960991094,0.6017838960991094
73,73,1976,CA,23,REPUBLICAN,86434,217053,0.3982161039008906,0.3982161039008906
74,74,1976,CA,24,DEMOCRAT,108296,159774,0.6778074029566763,0.6778074029566763
75,75,1976,CA,24,REPUBLICAN,51478,159774,0.3221925970433237,0.3221925970433237
76,76,1976,CA,25,DEMOCRAT,57966,80625,0.7657028123059852,0.7189581395348837
77,77,1976,CA,25,REPUBLICAN,17737,80625,0.23429718769401478,0.2199937984496124
78,78,1976,CA,26,DEMOCRAT,59093,171712,0.3441401882221394,0.3441401882221394
79,79,1976,CA,26,REPUBLICAN,112619,171712,0.6558598117778606,0.6558598117778606
80,80,1976,CA,27,DEMOCRAT,94988,209611,0.45316324047879164,0.45316324047879164
81,81,1976,CA,27,REPUBLICAN,114623,209611,0.5468367595212084,0.5468367595212084
82,82,1976,CA,28,DEMOCRAT,114612,142915,0.8019592065213589,0.8019592065213589
83,83,1976,CA,28,REPUBLICAN,28303,142915,0.19804079347864115,0.19804079347864115
84,84,1976,CA,29,DEMOCRAT,82515,96602,0.8837704970706995,0.8541748618041034
85,85,1976,CA,29,REPUBLICAN,10852,96602,0.1162295029293005,0.11233721869112441
86,86,1976,CA,30,DEMOCRAT,82767,111270,0.7438393097870046,0.7438393097870046
87,87,1976,CA,30,REPUBLICAN,28503,111270,0.2561606902129954,0.2561606902129954
88,88,1976,CA,31,DEMOCRAT,83155,83155,1.0,1.0
89,89,1976,CA,32,DEMOCRAT,92034,127428,0.7222431490724174,0.7222431490724174
90,90,1976,CA,32,REPUBLICAN,35394,127428,0.2777568509275826,0.2777568509275826
91,91,1976,CA,33,DEMOCRAT,77807,173205,0.4492191333968419,0.4492191333968419
92,92,1976,CA,33,REPUBLICAN,95398,173205,0.5507808666031581,0.5507808666031581
93,93,1976,CA,34,DEMOCRAT,100988,199135,0.5071333517463028,0.5071333517463028
94,94,1976,CA,34,REPUBLICAN,98147,199135,0.49286664825369725,0.49286664825369725
95,95,1976,CA,35,DEMOCRAT,87472,164237,0.5325961872172531,0.5325961872172531
96,96,1976,CA,35,REPUBLICAN,76765,164237,0.4674038127827469,0.4674038127827469
97,97,1976,CA,36,DEMOCRAT,90830,147556,0.6478694417894691,0.6155629049310093
98,98,1976,CA,36,REPUBLICAN,49368,147556,0.3521305582105308,0.334571281411803
99,99,1976,CA,37,DEMOCRAT,49021,188007,0.2683802797623936,0.2607402915848878
100,100,1976,CA,37,REPUBLICAN,133634,188007,0.7316197202376065,0.7107926832511555
101,101,1976,CA,38,DEMOCRAT,103317,162409,0.6361531688514799,0.6361531688514799
102,102,1976,CA,38,REPUBLICAN,59092,162409,0.36384683114852007,0.36384683114852007
103,103,1976,CA,39,DEMOCRAT,86745,209402,0.41425105777404225,0.41425105777404225
104,104,1976,CA,39,REPUBLICAN,122657,209402,0.5857489422259577,0.5857489422259577
